sample_name,pop,Wing,Tail,Tarsus,HeadLength,Bill_length_posterior,Bill_depth_anterior,Bill_width_anterior
HOB48,Tasmania,63,47,17.4,28.4,10,3.2,3
HOB49,Tasmania,60,47,18.1,28.8,10,3,3.1
HOB51,Tasmania,60,47,17,28.5,10,2.9,2.9
HOB55,Tasmania,62,48,17.7,28.5,10,3,3.2
HOB58,Tasmania,61.5,50,17.8,28.6,10,3.2,3
HOB59,Tasmania,60,47,17,28.3,10,3,2.9
HOB60,Tasmania,61,48,17,28.2,10,3.2,3.1
HOB63,Tasmania,61,47,17.3,27.8,10,3,3.2
HOB66,Tasmania,60,46,17.6,28.5,10,3,3
HOB83,Tasmania,61,46,17.7,28.1,10,3.1,3
HOB85,Tasmania,62,49,16.7,27.6,10,3,2.9
HOB100,Tasmania,60,46,17.5,28.5,10,3,3
TAS55,Tasmania,61,46,16.6,27.15,9.9,2.85,2.85
HOB26,Tasmania,63,49,17,29.1,9.9,2.9,3
HOB28,Tasmania,61,48,17.4,28.2,9.9,3,3
HOB20,Tasmania,59.5,46,16.7,27.2,9.9,3.4,3
HOB22,Tasmania,63,50,17.5,28.5,9.9,3.3,3
HOB68,Tasmania,61.5,48,18.1,28.2,9.9,3,3.1
HOB86,Tasmania,62,49,17.2,27.9,9.9,3.3,3
HOB91,Tasmania,61,47,16.6,27.6,9.9,3.1,3.2
HOB4,Tasmania,59,46,17.1,27.9,9.8,3,3
HOB6,Tasmania,60.5,48,17.7,28.2,9.8,3,3
HOB8,Tasmania,61,47,17,28.1,9.8,2.9,3.1
HOB9,Tasmania,62,47,17.6,28.2,9.8,3,3.4
HOB32,Tasmania,63,50,17.3,29.2,9.8,3,2.9
HOB18,Tasmania,59,46,16.7,27.8,9.7,3,3
HOB44,Tasmania,60,46,17,27.4,9.7,3.1,3.1
HOB45,Tasmania,63.5,48,18,28.4,9.7,3,3.1
HOB89,Tasmania,59,46,17.1,28.2,9.7,3.1,3.1
HOB29,Tasmania,60,46,17.2,27.6,9.6,2.9,2.9
HOB13,Tasmania,63.5,49,17,27.8,9.6,3,3
HOB92,Tasmania,62,48,17.5,28.3,9.6,3,3
HOB19,Tasmania,60,49,17,28.1,9.5,3.1,3.2
HOB40,Tasmania,62,49,17.3,28.3,9.5,2.9,3
HOB3,Tasmania,63,50,17.6,27.6,9.4,3.6,3
HOB35,Tasmania,58,45,16.7,27.4,9.4,2.9,2.9
HOB61,Tasmania,60,46,17.2,27,9.4,3,3
HOB41,Tasmania,60.5,50,17.4,28.4,9.3,3,3
VAN46,Vanua_Lava,65.5,48.5,20.63,32.06,12.16,3.94,3.88
ABP317,Vanua_Lava,65,50.83,20.4,31.26,11.64,4.07,3.87
ABP319,Vanua_Lava,63,49.28,19.5,31.67,11.33,3.75,3.42
